"periodo","p1","p2","p3_1","p3_2","p3_3","p3_4","p3_5","p5","p7","p7_3","p24","p25","edad","sexo"
"0219",1,2,2,2,2,2,2,0,0,0,0,0,50,1
"0219",1,1,1,2,1,2,1,4,3,1100,2,4,47,2
"0219",1,2,2,2,2,2,1,0,0,0,1,4,29,1
"0219",1,1,1,1,2,2,2,3,2,0,0,0,29,1
"0219",1,1,2,1,2,2,1,0,0,0,1,3,36,2
"0219",1,1,2,2,2,2,1,0,0,0,1,1,28,2
"0219",1,2,1,2,2,2,1,2,3,450,2,3,19,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,77,2
"0219",1,1,2,1,2,2,1,0,0,0,1,3,39,2
"0219",1,1,1,1,2,2,2,1,2,0,0,0,31,2
"0219",1,1,1,1,2,2,1,4,3,800,2,1,48,1
"0219",1,1,1,2,2,2,2,4,3,1500,0,0,44,1
"0219",1,1,2,2,1,2,1,0,0,0,1,4,54,1
"0219",1,2,1,2,1,2,2,3,2,0,0,0,57,1
"0219",1,1,1,2,1,2,2,5,3,200,0,0,73,2
"0219",1,1,1,1,1,2,2,4,3,1000,0,0,57,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,39,1
"0219",1,1,1,2,1,2,2,4,2,0,0,0,70,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,60,1
"0219",1,1,2,1,1,2,1,0,0,0,1,3,60,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,75,2
"0219",2,0,0,0,0,0,0,0,0,0,0,0,72,1
"0219",1,1,2,2,2,2,2,0,0,0,0,0,27,1
"0219",1,1,1,2,2,2,2,1,2,0,0,0,36,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,63,1
"0219",1,1,2,2,1,2,1,0,0,0,5,3,56,2
"0219",1,2,2,2,1,2,1,0,0,0,1,4,19,1
"0219",1,1,1,2,2,2,1,1,3,1800,2,4,24,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,74,1
"0219",1,1,1,2,1,2,1,3,2,0,5,4,60,1
"0219",1,1,1,1,1,2,2,4,3,850,0,0,46,2
"0219",1,1,1,2,2,1,1,4,2,0,2,4,24,2
"0219",1,1,1,2,1,2,1,4,3,1500,1,1,36,1
"0219",1,1,1,2,2,2,1,4,2,0,2,3,33,2
"0219",1,2,2,2,1,2,1,0,0,0,1,4,32,1
"0219",1,2,2,2,1,2,1,0,0,0,5,4,44,1
"0219",1,1,1,2,1,2,2,5,2,0,0,0,64,1
"0219",1,1,2,2,1,2,1,0,0,0,2,3,23,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,30,1
"0219",1,1,1,2,1,2,2,5,3,75,0,0,80,2
"0219",1,1,1,2,1,2,1,4,3,1500,1,4,69,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,69,1
"0219",1,1,2,2,1,2,1,0,0,0,2,3,36,1
"0219",1,1,2,1,2,2,1,0,0,0,2,3,43,2
"0219",1,1,2,2,1,2,1,0,0,0,4,1,43,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,63,2
"0219",1,1,1,2,2,2,2,5,2,0,0,0,55,2
"0219",1,1,1,2,2,1,1,4,3,1200,2,3,26,2
"0219",1,1,1,1,1,2,2,4,2,0,0,0,43,1
"0219",1,1,1,2,2,2,1,5,2,0,1,3,49,2
"0219",1,1,2,1,2,2,1,0,0,0,1,3,39,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,42,1
"0219",1,1,1,2,2,1,1,4,1,0,3,3,32,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,43,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,68,1
"0219",1,1,1,1,1,2,1,3,3,1000,2,3,48,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,39,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,65,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,63,1
"0219",1,1,1,1,1,2,2,4,2,0,0,0,39,2
"0219",1,1,1,2,2,2,1,4,2,0,5,3,20,2
"0219",1,1,2,1,1,2,2,0,0,0,0,0,39,2
"0219",1,1,2,1,1,2,1,0,0,0,1,3,56,1
"0219",1,1,1,1,1,2,2,1,1,0,0,0,63,2
"0219",1,1,2,1,1,2,2,0,0,0,0,0,69,2
"0219",1,2,2,2,2,2,1,0,0,0,2,4,39,2
"0219",1,1,1,1,1,2,1,5,2,0,5,4,60,2
"0219",1,1,2,2,2,2,2,0,0,0,0,0,52,2
"0219",1,1,2,1,2,2,1,0,0,0,5,3,25,2
"0219",1,1,1,2,2,2,1,3,2,0,1,3,49,1
"0219",1,1,1,1,1,2,2,5,2,0,0,0,61,1
"0219",1,1,2,1,1,2,2,0,0,0,0,0,36,1
"0219",1,1,1,2,1,2,2,4,2,0,0,0,65,2
"0219",1,2,2,2,1,2,2,0,0,0,0,0,49,2
"0219",1,2,2,1,2,2,1,0,0,0,5,3,33,2
"0219",1,1,1,2,1,2,2,4,3,200,0,0,67,2
"0219",1,2,2,2,2,2,1,0,0,0,5,4,44,2
"0219",1,1,1,1,1,2,1,3,2,0,2,4,21,2
"0219",1,1,2,2,2,2,1,0,0,0,1,3,46,2
"0219",1,1,2,1,2,1,1,0,0,0,1,4,28,1
"0219",1,1,1,1,1,1,1,4,2,0,1,4,23,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,45,2
"0219",1,1,2,1,1,2,2,0,0,0,0,0,55,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,40,1
"0219",1,1,1,2,2,2,1,3,3,1000,1,2,23,1
"0219",1,1,1,2,2,2,2,1,1,0,0,0,27,1
"0219",2,0,0,0,0,0,0,0,0,0,0,0,82,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,32,2
"0219",1,1,1,2,2,2,2,2,1,0,0,0,22,1
"0219",1,2,2,1,2,2,2,0,0,0,0,0,18,2
"0219",1,1,1,2,2,2,2,3,3,1100,0,0,55,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,23,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,70,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,67,1
"0219",1,1,1,2,2,2,2,4,2,0,0,0,68,1
"0219",1,1,1,1,2,2,1,3,1,0,2,4,54,1
"0219",1,1,1,2,2,2,2,5,2,0,0,0,69,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,86,1
"0219",1,1,1,1,2,2,2,1,1,0,0,0,52,1
"0219",1,1,2,2,2,2,2,0,0,0,0,0,39,1
"0219",1,1,1,2,2,2,2,4,2,0,0,0,58,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,80,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,39,1
"0219",1,1,1,2,2,2,2,4,2,0,0,0,49,2
"0219",1,1,2,1,2,2,2,0,0,0,0,0,19,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,44,1
"0219",1,1,1,2,1,2,1,4,1,0,2,1,29,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,23,1
"0219",1,1,1,1,1,2,1,3,3,500,2,1,49,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,68,1
"0219",1,1,1,1,1,2,2,4,2,0,0,0,74,1
"0219",1,2,2,2,2,2,2,0,0,0,0,0,68,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,20,1
"0219",1,2,2,2,1,2,2,0,0,0,0,0,28,2
"0219",1,2,2,2,2,2,2,0,0,0,0,0,66,2
"0219",1,1,2,2,1,2,2,0,0,0,0,0,41,1
"0219",1,1,1,2,2,2,2,5,2,0,0,0,65,2
"0219",1,1,2,1,1,2,2,0,0,0,0,0,43,1
"0219",1,1,2,1,2,2,2,0,0,0,0,0,60,1
"0219",1,1,2,2,1,2,2,0,0,0,0,0,47,1
"0219",1,1,1,2,2,1,1,2,1,0,2,3,19,1
"0219",1,1,2,1,1,2,2,0,0,0,0,0,35,2
"0219",1,1,1,1,1,2,2,4,2,0,0,0,44,2
